,id,description,title,repin_count
101,21181060741261453, ,Soft Jacquard Bedding Bundle - Pastel Blue / Large / Fitted,0
106,21181060741261402, ,ZIMMERMANN Embroidered Ginger Tropical Shirt,0
107,21181060741261401,"Prints that ensure a never-dull decor pattern this duvet cover and sham set cut from 300-thread-count cotton sateen for a luxurious night's sleep. Full/Queen set includes two Standard shams; King set includes two King shams 86"" x 86"" Full/Queen duvet; 20"" x 26"" shams 106"" x 92"" King duvet; 20"" x 36"" shams 300 thread count 100% cotton Machine wash, tumble dry Made in Portugal","Dusen Dusen Print Cotton Sateen Duvet Cover & Sham Set in Ivory Floral at Nordstrom, Size King",0
112,21181060741261391,"""- Handmade in USA - 23 Inch Length - 7mm - 8.5mm - 14k Yellow Gold 14mm Spring Ring Clasp - AAA Gemstones Listed Below Multi Gemstone Rainbow Necklace. Electrifying Pastels. Gorgeous genuine gemstones hand selected and color coded to create a dazzling rainbow display. Soft pastels are highlighted with pops of bright oranges, yellows and pinks. Reminiscent of a brilliant beach sunset. Rose Quartz, Pink Opal, Orange Spiney Oyster, Yellow Opal, Yellow Rutile Quartz, Citrine, Prehnite, Green Strawb","Rainbow Necklace Hand Knotted on Silk, 14k Gold Clasp",0
114,21181060741261388, ,Pink Balloon Puppy,0
115,21181060741261387,"Open up a beautiful birthday butterfly with our fun, fold-out children's birthday card featuring a butterfly with foldable wings and antennae.",Butterfly Fold Out Kids Birthday Card,0
118,21181060741261380,Faster shipping. Better service,"1pc Hanging Acrylic Magazine Display Shelves, Wall Mounted Bookshelf, Book Storage Holders, Household Storage Organizer For Office, Bedroom, Living Room, Study, Wall Decor",0
119,21181060741261379,"Our first ever Curious wall hook design is here! And of course, she's curvy! There are three hooks to securely hang a variety of items such as bags, keychains, jackets and more. Includes pre-drilled holes and screws to mount, in any orientation you prefer! Available in mustard, sage, white, lilac and pink. Want to paint your piece your own custom color? Select Primer Only from the options below. Please note this means your piece will arrive lightly sanded with a white matte primer. ✿ Overall Dim",Curiouser Wall Hook - Mustard,0
120,21181060741261377,"Tou-can light up your space with this adorable light shaped as a toucan. Emits a soft glow that’s perfect for creating a calming vibe in your space. Move the toucan's beak to adjust the direction of the light. Available exclusively at Urban Outfitters. Features Toucan-shaped table lamp Adjustable - just move the toucan's beak to change the angle of the light Plug-in; inline switch Requires E12 B type 60W bulb - not included Content + Care Acrylic, metal, wood Wipe clean Imported Made in complian",Toucan Table Lamp in Green at Urban Outfitters,1
122,21181060741261375,"Contrast is key to Simone Rocha's work: masculine and feminine, hard and soft, romantic and practical. This tiered midi dress is cut from sheer beige tulle that's embellished with green sequin florals. It has a frothy frilled hem and long straps that can be adjusted to your preferred length.",Simone Rocha - Tiered Sequin-embellished Grosgrain-trimmed Tulle Midi Dress - Neutrals - UK 8,0
136,47639708551647781,"that girl aesthetic, it girl aesthetic, motivation quotes, green aesthetic, work out quotes, manifestation quotes, dream aesthetic, consistency, heartbreak quotes, happy quotes, quotes to move on, inspirational quotes, dream aesthetic, that girl, tiktok girl, it girl, dream life, quotes, moving forward",consistency is key,0
141,47639708551647472,"Say Hello To Them: 1,000+ New Designs Launch Every Week",Elegant Summer Dresses To Try Now! 80% Off!,0
143,47639708551647470, ,oversized & chic,0
172,188658671887862437,The most stylish and comfortable pajamas for women are designed to be worn from bed to the city with effortless style!,Sleepwear Style,5
173,188658671887862436,The most stylish and comfortable pajamas for women are designed to be worn from bed to the city with effortless style!,Sleepwear Style,35
174,188658671887859670,"Holiday hair is a cinch with the resurgence of lustrous accessories. From jeweled clips to elegant bows, these sparkly pieces will take your hair to shimmering new heights!",CROWN JEWELS,7
175,188658671887856489,"With our carefully chosen selection of cherished brands and brand-new items, the greatest in skincare and beauty needs are at your fingertips.",BEAUTY,3
176,188658671887852491,"If they didn’t take the hint or you’ve been left with not-so-perfect presents, treat yourself to something on your personal wishlist with up to 40% off the gifts you really wanted. Head into the New Year with feel-good buys—you deserve it. Shop BAZAAR editors’ picks from Khaite, Balenciaga, CO Collection, By Malene Birger, and more.",SHOP BAZAAR SALE,1
177,188658671887847464,Thank you for trusting our edit and allowing SHOP BAZAAR to be a part of your journey. Wishing you and your loved ones the happiest of holidays—the best is yet to come—cheers to an even more stylish 2024!,HAPPY HOLIDAYS,0
178,188658671887844624,"When planning your warm-weather travels, turn to these lovely escapes for the chicest experience and let our edit inspire your packing list.",SUN-FILLED DESTINATIONS,0
179,188658671887841830,"Thanks to these three sustainable brands committed to responsible sourcing, artisan support, and low-impact production, making thoughtful shopping purchases is effortless. Discover your new go-to bag of 2024 you’ll feel extra good about.",DESIGNERS we LOVE,5
180,188658671887838149,"Hit the slopes with everything you need for the chicest alpine adventure. These soon-to-be bestsellers are the most shopped essentials for ski season. Explore extra warm coats, statement scarves that feel like a warm hug, designer mittens you’ll slip on every day, hydrating hand creams that will keep you protected, and more.",SKI BESTSELLERS,2
181,188658671887837751,Three red dresses that are ideal for the holidays!,Exquisite Reds,21
182,188658671887837750,Three red dresses that are ideal for the holidays!,Exquisite Reds,6
183,188658671887837749,Three red dresses that are ideal for the holidays!,Exquisite Reds,8
184,188658671887835546,"In just a few short years, Australian-brand ALÉMAIS has become one of the most anticipated brands of the industry. Collaborating with artists, each collection is a spirited escape from the mundane. Learn more about the breakout label with our exclusive interview with Creative Director Lesleigh Jermanus.",ALÉMAIS,1
185,188658671887831910,"When it comes to incredible cuisine, New York always comes out on top. These are the three new restaurants that have been the talk of the town. Get your reservations in while you can and make an entrance when you finally book a table with three standout looks styled by our editors.",WHAT’S NEW in NEW YORK,1
186,188658671887828113,Wrap yourself in cozy chic! Our new winter arrivals feature must-haves like this Loewe scarf for the perfect combination of style and warmth!,NEW ARRIVALS,12
187,188658671887827430,"Handloomed by women artisans in Oaxaca, Mexico, our exclusive Hero from sustainable brand Jaline is exactly what you want to wear when chasing the sun. Crafted from 100% cotton, this skirt features a high-rise silhouette embellished with a hand-knotted macrame fringe. In timeless black, you can go from the beach to the streets with a simple swap of accessories.",JALINE,2
188,188658671887820348,"The only way to end 2023 and start 2024 is in impeccable style. Turn to our bestsellers for all your New Year’s Eve dressing needs: sequin blazers, festive accessories, feather-accented pajamas sets, and more celebratory essentials.",NEW YEAR’S EVE DRESSING,3
189,188658671887816622,"Trends come and go, but romantic style is timeless. Inspired by the characters of The Buccaneers, this edit highlights everything we love about the storytelling and costumes of period dramas. Be prepared to be transported to another era with feminine details like lace accents, floral embroidery, and sparkling embellishments.","PAST, PRESENT & FUTURE STYLE",2
190,188658671887814608,SHOP BAZAAR Editor Jasmine Tuttle shares her style inspiration. Her go-to outfit? A bold pair of denim paired with a statement bag. Her favorite designer? Maison Margiela!,EDITOR'S PICKS,28
191,188658671887813238,Rhinestone accessories is the perfect addition to any outfit for New Years. This Alexander Wang Heiress Rhinestone Mesh Pouch will be the star of the show!,Rhinestone Bags,7
192,188658671887813237,"Feathers are a fun, flirty way to add some personality to an outfit, and they can be worn in a variety of different styles!",Feathers Accents,10
193,188658671887813236,Hair accessories make everything better. From bold ponytail holders and minimal barrettes to playful clips and more!,Bold Hair Accessories,23
194,188658671887810947,"Edgy streetwear meets refined ready-to-wear with the latest collection from French fashion house Givenchy. The brand's shoes, handbags, dresses, and separates pay close attention to detail, subverting the unexpected at every turn.",GIVENCHY,6
195,188658671887807339,"You found your dream dress, now what? Earrings. These jewels frame the face and complement the whole look, creating the perfect balance. Become the best dressed person at every formal setting you’re in with our expertly matched edit.",MEET YOUR MATCH,1
196,188658671887803152,Introducing the most fashionable gifts for everyone—with every taste—on your shopping list. Discover our latest gift guide edit inspired by our December/January issue.,HOLIDAY SPIRIT,1
199,21181060741249373, ,"Towel Bundle in 2023 | Towel, Rainbow towels, Colorful bath",0
202,21181060741249364, ,Circus Stripes Ceramic Jar with Lid - Lilac Stripe,0
203,21181060741235174, ,Little Bow Ornament - Opal,0
204,21181060741230128, ,Meadow Headpiece in Pink/Orange - Small,0
206,21181060741230122,"A Lovely Black Hearts Parisian Faux Fur Driving Coat. It’s Soft, Lightly Fuzzy And Lined. Features A Perfectly Suited Turn Down Collar. You Can Take It From Streetwear To The Perfect Evening-Wear Layered Coat. Wear Over A Black Jumpsuit, Slacks Or Any Outfit. Pair With Black Or Tan Driving Gloves In The Winter. Lena Vie Item Available Now True To Size See Sizing Slide Lined S 2/4 M 6/8 L 10 Xl 12 2x 14/16 3x 18",Lena Vie Boutique Jackets & Coats | Marseille Pari Black Hearts Faux Fur Lux Driving Midi Coat In Honey | Color: Black/Cream | Size: Various,1
207,21181060741230116,"Description This item will be made to order and takes 3-4 weeks before shipping. Headpieces with non-standard options & custom engraving cannot be returned or exchanged unless faulty. This beautiful, floral headpiece will make you feel so utterly fabulous you'll never want to take it off. A meadow scene abundant with individually hand-formed acrylic flowers in varying colours and textures. And not only is the front beautiful, the back is too - the flowers cover the whole surface of the band. Whe",Ophelia Headpiece in Pink - Not sure - please email me a size guide,1
247,47639708551627427, ,Photocircle Poster / Leinwandbild - Don't let idiots ruin your day,0
259,47639708551624592, ,billy joel vienna slow down you’re doing fine art,0
271,47639708551522525,"Taking its name from the Latin word for “extend,” the Duca candleholder does exactly that: by loosening the screw on its slender stem, the height of the design can be adjusted as the candle burns. Cast in bronzed brass and detailed with rattan enfolded around its lower half, the simple yet impactful design brings a sense of intimacy and warmth to its surroundings. A beautiful design by the Danish interior label Audo Copenhagen.",Audo Duca candle holder | By Mölle,1
272,21181060741152621, ,fun and colorful design details for future house!,1
274,21181060741129693,"Friendship bracelets, Taylor Swift, Trader Joe’s, DIY",Taylor Swift Bracelets but Make it Trader Joe’s,40
275,21181060741129669, ,Oh Joy for Casetify is Here! For iPhone and Android. Customize your size and case color!,29
280,21181060741129605,"The Deny Designs credenza features crisp mid-century modern styling with an understated Baltic Birch cabinet and sleek, curved steel Aston legs. Select from our array of curated designs to feature on the credenza doors and blend this versatile furniture staple into any decor. It can function as an office cabinet, entertainment unit or even a bar cart. It's available in either a warm, refreshingly natural finish or a premium, rich walnut veneer—allowing for a variety of design combinations. And t",Gigi Rosado Pastel Plaid Credenza Black - Deny Designs,1
281,21181060741129603,"This two-fingers ring by Scrives is composed of a large and deep aquamarine of 19.8cts (origin: Myanmar, no treatment) and of 6 sugarloaf pink spinels set on the sides (total weight: 3.65cts, origin: Myanmar). The aquamarine exhibits eye visible natural and typical inclusions. As both bands are not larges, wearing this double ring is comfortable and allows good movement of the fingers. This one-of-a-kind ring is handmade with 22kt mat finish gold. After wearing the jewellery for sometime, the go","Scrives - Spinels Double Finger 22 Karat Cocktail Ring Contemporary Aquamarine,spinel 22K Gold",1
282,21181060741129601,"Don't tell me this necklace ain't got no heart ❤️ 30"" Gold plated brass hardware 1.5"" extension Rainbow threadwork Mixed-media charms Handmade in New York City. Due to the handmade nature of our products, some charms may vary in color and style or be replaced if unavailable. Please allow 5-7 business days for production.",SHAKEDOWN STREET NECKLACE,1
292,21181060741129526, ,Checkered Towel Collection,0
295,21181060741129523, ,Salty Shadows Recline Beach Chair - Lilac,1
310,780248704183659986, ,Guest Bedroom,0
322,188658671887799672,"Inspired by croissants, these earrings from designer Jennifer Zeuner put a playful twist on French Girl style. Chunky and bold, yet designed to be lightweight, our Hero is the MVP of jewelry—wear it for every day and special occasions, and/or gift them this holiday season.",The HERO: JENNIFER ZEUNER JEWELRY,5
323,188658671887795152,"For those who have everything, you know you have to bring your A game with a gift that checks every box. Whether the recipient has plenty of coin to spare or not—our luxe gift guide features the best of the best at every price point. Special, high quality, and super chic, discover the presents you’ll want to keep for yourself.",LUXE GIFTS,2
324,188658671887791488,"When planning your cold season getaways, turn to these snow-covered destinations for a refreshing New Year reset and let our edit inspire your packing list.",Chic Escapes: ‘Tis the SKI-SEASON,2
325,188658671887789173,"Instantly recognized for their use of crystals, the optimum decadence of NY-based AREA will take your breath away. Each couture-level design is a display of quality craftsmanship, textile development, and innovative embellishment.",AREA,3
326,188658671887788729,This is the ‘it’ bag of 2023: the hobo bag was forecasted to be one of the most hyped bags as we transition into the new year!,Shop The Perfect Hobo Bag,13
327,188658671887788728,Metallic bags are the perfect outfit staple for Christmas/New Year and a great festive accessory to have!,Metallics Are Trending this Winter:,9
328,188658671887788727,This JACQUEMUS Le Bisou calf hair shoulder bag is on everyones wishlist this winter!,JACQUEMUS Essential ,12
329,188658671887785937,"It all starts with the first step—get where you need to in the New Year with our latest edit of bestsellers. Featuring the chicest heels from Amina Muaddi, quirky boots full of personality, designer sneakers for every day, and so many more alluring styles, this is the footwear selection of your dreams.",SHOE BESTSELLERS,6
330,188658671887783095,"As we wrap up 2023 and embark on 2024, we’re taking cues from our December/January cover and embracing the classics with a modern touch. Clean lines, minimal details, neutral colorways—shop timeless essentials from Chloé, Prada, Missoni, Advene, Stand Studio, and more coveted brands.",Shop The December Issue,1
331,188658671887779075,"The best in beauty and skincare essentials are coming straight to your inbox with our curated edit of beloved brands and fresh products. From gifting ideas and holiday makeup to effective tools, we’ve got you covered.",NEW Beauty ARRIVALS,2
332,188658671887775921,"We’re firm believers in ending 2023 with a bang and starting 2024 with an even bigger bang—and you can achieve it all with this Miu Miu bag on your arm. Our Hero is a prime example of why the Italian powerhouse is responsible for so many trendsetting and viral moments each season. Embracing exuberance, luxury, and all that sparkles, the iconic Wander bag is covered in crystals for a spellbinding effect. See how our editors styled it! #SHOPBAZAAR",This Miu Miu Bag Is the Most Brilliant Accessory Of The Season ,5
333,188658671887775029,An edgy leather dress is always street style approved!,Staple Leather Dress,5
334,188658671887771928,"Whatever your holiday plans, getting all dressed up is half the fun. Suiting up for the holidays is our definition of “timeless style.” Details like satin lapels, pleated tailoring, and metallic shine come together beautifully to make it one of your best looks ever.",Holiday Dressing,3
335,188658671887767268,Jean Paul Gaultier dresses elevate any outfit and will make a bold statement!,Jean Paul Gaultier,45
336,188658671887767267,A bold lace dress is a wardrobe essential for your dressy evenings out.,Wardrobe Essential: Lace Dresses ,9
337,188658671887766944,"Everyone has that “hard to shop for” person on their gift list where their discerning tastes can make you second guess your choice. Don’t stress, our latest edit of bestsellers was especially curated for guaranteed-gift-giving-success. Can’t go wrong ornaments, extra fine fine jewelry, coveted beauty sets, budget-friendly finds—this is your one-stop shop for the perfect presents.",Gift Bestsellers,0
338,188658671887764995,"Nothing beats a great pair of jeans— From fit to wash, never before has the art of the blue jean been so meticulously focused. Our new arrivals are all about embracing that laid-back '90s vibe. Get ready for a stylish winter in our relaxed denim pieces.",ALL ABOUT THE ‘90S: RELAXED DENIM FOREVER,10
339,188658671887761148,"Lifestyle brand Flamingo Estate elevates daily moments into revitalizing rituals. Working with a network of incredible farmers to source high-quality ingredients, the California-based label champions slow ways and ancient practices. You’ll use these top picks everyday: organic cold-pressed olive oils, intoxicating jasmine and damask rose bar soaps, Tuscan rosemary candles, and more!",Flamingo Estate,3
340,188658671887757994,"NY-based Mounser knows how to turn up the dial. Each standout piece of jewelry is larger-than-life infused with artistic and playful overtones. Expect asymmetrical earrings, juicy rings, and sculptural pendants.",MOUNSER,8
341,188658671887754348,Sometimes your loved ones need a little assistance and not-too-subtle hints when finding the right present for you. Help your S.O. out by forwarding them this list of luxe gifts you actually want. Discover the ultimate must-haves of the season.,Gifts To Forward To Your Significant Other,8
342,188658671887750591,"If you ever wanted proof that “good things come in small packages,” our Hero from Prada is the only confirmation you need. Introducing the cutest little luxury you’ll obsess about until you’ve collected every colorway and style. This micro bag is all about making a big statement and will bring you and everyone you gift it to an endless amount of joy. Our editors love the glistening exterior, iconic triangle logo, drawstring closure, and adjustable shoulder strap.",THE HERO,11
343,188658671887746144,"Esquire Fashion Editor Alfonso Fernández Navas shares his manifesting wardrobe picks for a modern revamp. ""As the calendar year ends, his mindset is about manifesting 'the new you in the new year'. With a fresh slate in 2024, Embracing new style goals by giving your wardrobe a modern revamp will be well worth the closet real estate.""",Editor's Picks,1
344,188658671887742213,"When attending Art Basel Miami Beach, your look should be a work of art in itself—full of energy and intrigue that will garner notice. Enter buzzy brand Ashish. The glimmering, vibrant sequins will inspire the days ahead and the mini lengths will keep you cool in the tropical climate.",Get Ready For Art Basel,2
345,188658671887739820,"Maximize your holiday look with the perfect finishing touches. Our latest edit of bestsellers features designer Airpod cases, embellished socks, sparkling tennis necklaces, lovely hair bows, Fair Isle scarves, investment watches, festive clutches, and more accessories that will take your party attire to the next level.",HOLIDAY ACCESSORIES,10
346,188658671887736212,"Brought to you by the editors of Harper’s BAZAAR and with 155+ years of fashion and beauty authority, we present only the best of the best. Thank you for trusting our edit and opening your closets to SHOP BAZAAR—more exciting and exclusive buys to come.",Happy Holidays:,4
375,47639708551509592,"Klassiska chelsea boots i konstläder, mocka och textil. Mjuka och följsamma boots dam med en skönt dämpande sula i TPR-gummi.  * Bekväm passform * Dämpande sula * Fin materialmix av konstläder och mocka",Women's Boots T1700 Chs Tnl,0
379,47639708551509578, ,Gaura 'Whirling Butterflies',0
385,47639708551466722, ,- ̗̀𝒘𝒆𝒓𝒆𝒏𝒐𝒕𝒔𝒐𝒖𝒍𝒎𝒂𝒕𝒆𝒔  ̖́-,0
388,47639708551449442,"Nesso Table Lamp stems from the visionary identity. Its’ iconic curves wind into a true collectible, an expressive statement piece of internationally acclaimed calibre and fame. An iconic piece having staged its presence in various landmarks, Nesso Table Lamp is considered a valuable piece of art. Please note: Your payment does not include customs duties, local taxes or any other import costs. If you have any questions about our products, please contact us and we will get back to you within 24 h",Nesso Table Lamp - Dia 32cm x H 22cm / Orange / UK plug,0
392,47639708551449407,"About this product The KIN Mushroom - Italy Designer Led Mushroom Table Lamp adds a modern and minimalist touch to your home with its unique design. Featuring an LED light for efficient energy efficiency, this Italy designer lamp is perfect for bedroom, living room, and hotel decoration lighting. Enjoy bright, yet gentle illumination with this stylish and efficient lamp. SPECIFICATIONS Wattage: 6-10W Warranty: 2 Years Voltage: 90-260V Technics: Spent grinding Switch Type: Sensor Style: Modern St",KIN Mushroom - Italy Designer Led Mushroom Table Lamp - Orange / AU Plug,0
394,47639708551449223,"Atollo bordslampa atollo-lampan designad 1977 har blivit en av de ikoniska italienska designerna och belönades med compasso d'oro 1979. Atollo lampe blev prototypen för moderna bordslampor och skrev om de klassiska sänglamporna. Som en populär bordslampa är atollo lampe uppbyggd av geometriska former, inklusive cylindrar, koner och halvklot. Atollo bordslampa vico magistretti finns i två material, glas och metall. Atollo opal glasbordslampa är i opalin ogenomskinlig finish. Atollo bordslampa i m",Atollo bordslampa,0
395,47639708551448035, ,camel.,0
396,188658671887732683,"Before you know it, the crisp breeze will turn into a frosty chill and then a glacial storm. Get ready with our coats that will warmly carry you from fall to winter. Our cozy shearling material will keep you stylish and bundled up for this Holiday season!",Shearling Jackets:,4
397,188658671887726364,Dreaming of warmer temperatures and sun-filled destinations? It’s never a wrong time to plan your next getaway and packing list. Discover three hotels around the world with the most breathtaking pools.,Chic Escapes: Awe-inspiring POOLS,3
398,188658671887713270,"If you want to gift someone the moon and the stars this holiday, go with a more practical mode of action in the form of sparkling diamonds and gold. Our exclusive Heroes from buzzy jewelry designer Anita Somayaji are so incredibly special you’ll want to keep them for yourself. Designed to rotate, both necklaces can be worn multiple ways, either showcasing glittering stars or a sun with a satin finish. Functional jewelry you can play with—these will be forever cherished.",ANITA SOMAYAJI,20
399,188658671887707592,"Dressing up for the holidays? Don't worry, we've got you covered. Here are six essentials that you need to add to your wardrobe this party season!",Holiday Dressing Essentials ,3
400,188658671887703172,"It may be winter, but we’re embracing a sunny state of mind with our latest edit of bestsellers. Resort season is starting with vacation essentials ready to be added to your next packing list. Elegant wide brim hats, artisan-crafted basket bags, beaded pearl jewelry, minimal sandals, sleek and chic bikinis—ignite your wanderlust with these must-haves.",Resort Bestsellers ,3
401,188658671887700423,"Designer Hunter Bell believes that clothes should inspire delight, and her pieces do exactly that. Discover chic and playful matching sets, maxi dresses that bring drama, and more delightful must-haves.",Hunter Bell,6
402,188658671887700046,"These buckle boots ain't just for show, they're your fall staple with attitude!",Buckle Boots,11
403,188658671887700045,Step into fall with style and grace in these bold ballet flats!,MIU MIU Satin Ballet Flats,16
404,188658671887700044,This bag goes with every outfit this season no matter the color!,Bottega Teen Jodie Intreccatio Bag,11
405,188658671887697188,"Luxe and affordable are not opposing forces. In fact, good things do come with small price tags. The trick to finding the perfect gift is to choose something that both wows your recipient and pleases your wallet. And that unicorn of a gift, dear shopper, is right here in our gift guide featuring stylish gifts under $100 that will make for the perfect stocking stuffer!",2023 Stocking Stuffers,2
406,188658671887689765,"What to get the person who has everything? Something truly unique and thoughtful you can’t easily find. This edit features 28 special gift ideas even the most discerning people on your list will appreciate. Meditative dome diffusers, surrealistic porcelain catchalls, rose champagne jams, luxurious furry bags, mesmerizing rotating globes, handpainted candles, metallic puffer coats—these will put a smile on everyone’s face!",THE 2023 GIFT BAZAAR: ,3
407,188658671887685255,"The finishing touch to any holiday look should always be a piece of sparkling jewelry and our exclusive Hero from Demarson delivers the statement-making shine that’s quintessential to party season. Crafted from 12k gold plated brass and nude enamel, and accented with blush colored pave crystals, these Dash earrings promise compliment after compliment. Perfect for yourself and gifting your stylish loved ones, we suggest you dash to add these to your cart.",SHOP DEMARSON,23
